code,aoi_name,ptype,monitoring_number,version_number,category,subcategory,unit,total,affected,total_raw,affected_raw,snapshot_date
EMSR865,Monterìa,DEL,1,1,Built-up,"School, university and research buildings",ha,134.5,1.1,134.5,1.1,2026-08-21
EMSR865,Monterìa,DEL,1,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-15
EMSR865,Monterìa,DEL,1,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-16
EMSR865,Monterìa,DEL,1,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-18
EMSR865,Monterìa,DEL,1,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-21
EMSR865,Monterìa,DEL,1,1,Facilities,Constructions for mining or extraction,ha,25.5,1.6,25.5,1.6,2026-08-15
EMSR865,Monterìa,DEL,1,1,Facilities,Constructions for mining or extraction,ha,25.5,1.6,25.5,1.6,2026-08-16
EMSR865,Monterìa,DEL,1,1,Facilities,Constructions for mining or extraction,ha,25.5,1.6,25.5,1.6,2026-08-18
EMSR865,Monterìa,DEL,1,1,Facilities,Constructions for mining or extraction,ha,25.5,1.6,25.5,1.6,2026-08-21
EMSR865,Monterìa,DEL,1,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,8.7,200.2,8.7,2026-08-15
EMSR865,Monterìa,DEL,1,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,8.7,200.2,8.7,2026-08-16
EMSR865,Monterìa,DEL,1,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,8.7,200.2,8.7,2026-08-18
EMSR865,Monterìa,DEL,1,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,8.7,200.2,8.7,2026-08-21
EMSR865,Monterìa,DEL,1,1,Facilities,Settling Basin,ha,23.9,17.3,23.9,17.3,2026-08-15
EMSR865,Monterìa,DEL,1,1,Facilities,Settling Basin,ha,23.9,17.3,23.9,17.3,2026-08-16
EMSR865,Monterìa,DEL,1,1,Facilities,Settling Basin,ha,23.9,17.3,23.9,17.3,2026-08-18
EMSR865,Monterìa,DEL,1,1,Facilities,Settling Basin,ha,23.9,17.3,23.9,17.3,2026-08-21
EMSR865,Monterìa,DEL,1,1,Facilities,Sport and recreation constructions,ha,100.7,4.9,100.7,4.9,2026-08-15
EMSR865,Monterìa,DEL,1,1,Facilities,Sport and recreation constructions,ha,100.7,4.9,100.7,4.9,2026-08-16
EMSR865,Monterìa,DEL,1,1,Facilities,Sport and recreation constructions,ha,100.7,4.9,100.7,4.9,2026-08-18
EMSR865,Monterìa,DEL,1,1,Facilities,Sport and recreation constructions,ha,100.7,4.9,100.7,4.9,2026-08-21
EMSR865,Monterìa,DEL,1,1,Flooded area,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-15
EMSR865,Monterìa,DEL,1,1,Flooded area,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-16
EMSR865,Monterìa,DEL,1,1,Flooded area,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-18
EMSR865,Monterìa,DEL,1,1,Flooded area,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-21
EMSR865,Monterìa,DEL,1,1,Land use,Forests ,ha,50492.7,2208.9,50492.7,2208.9,2026-08-15
EMSR865,Monterìa,DEL,1,1,Land use,Forests ,ha,50492.7,2208.9,50492.7,2208.9,2026-08-16
EMSR865,Monterìa,DEL,1,1,Land use,Forests ,ha,50492.7,2208.9,50492.7,2208.9,2026-08-18
EMSR865,Monterìa,DEL,1,1,Land use,Forests ,ha,50492.7,2208.9,50492.7,2208.9,2026-08-21
EMSR865,Monterìa,DEL,1,1,Land use,Heterogeneous agricultural areas ,ha,84739.0,15802.3,84739.0,15802.3,2026-08-15
EMSR865,Monterìa,DEL,1,1,Land use,Heterogeneous agricultural areas ,ha,84739.0,15802.3,84739.0,15802.3,2026-08-16
EMSR865,Monterìa,DEL,1,1,Land use,Heterogeneous agricultural areas ,ha,84739.0,15802.3,84739.0,15802.3,2026-08-18
EMSR865,Monterìa,DEL,1,1,Land use,Heterogeneous agricultural areas ,ha,84739.0,15802.3,84739.0,15802.3,2026-08-21
EMSR865,Monterìa,DEL,1,1,Land use,Inland wetlands ,ha,44173.7,15999.5,44173.7,15999.5,2026-08-15
EMSR865,Monterìa,DEL,1,1,Land use,Inland wetlands ,ha,44173.7,15999.5,44173.7,15999.5,2026-08-16
EMSR865,Monterìa,DEL,1,1,Land use,Inland wetlands ,ha,44173.7,15999.5,44173.7,15999.5,2026-08-18
EMSR865,Monterìa,DEL,1,1,Land use,Inland wetlands ,ha,44173.7,15999.5,44173.7,15999.5,2026-08-21
EMSR865,Monterìa,DEL,1,1,Land use,Other,ha,9775.1,1108.5,9775.1,1108.5,2026-08-15
EMSR865,Monterìa,DEL,1,1,Land use,Other,ha,9775.1,1108.5,9775.1,1108.5,2026-08-16
EMSR865,Monterìa,DEL,1,1,Land use,Other,ha,9775.1,1108.5,9775.1,1108.5,2026-08-18
EMSR865,Monterìa,DEL,1,1,Land use,Other,ha,9775.1,1108.5,9775.1,1108.5,2026-08-21
EMSR865,Monterìa,DEL,1,1,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,33877.2,226707.3,33877.2,2026-08-15
EMSR865,Monterìa,DEL,1,1,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,33877.2,226707.3,33877.2,2026-08-16
EMSR865,Monterìa,DEL,1,1,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,33877.2,226707.3,33877.2,2026-08-18
EMSR865,Monterìa,DEL,1,1,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,33877.2,226707.3,33877.2,2026-08-21
EMSR865,Monterìa,DEL,1,1,Maximum of all extents**,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-15
EMSR865,Monterìa,DEL,1,1,Maximum of all extents**,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-16
EMSR865,Monterìa,DEL,1,1,Maximum of all extents**,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-18
EMSR865,Monterìa,DEL,1,1,Maximum of all extents**,None,ha,\N,68996.4,"""NA""",68996.4,2026-08-21
EMSR865,Monterìa,DEL,1,1,Transportation,Airfield runways,km,7.1,0.2,7.1,0.2,2026-08-15
EMSR865,Monterìa,DEL,1,1,Transportation,Airfield runways,km,7.1,0.2,7.1,0.2,2026-08-16
EMSR865,Monterìa,DEL,1,1,Transportation,Airfield runways,km,7.1,0.2,7.1,0.2,2026-08-18
EMSR865,Monterìa,DEL,1,1,Transportation,Airfield runways,km,7.1,0.2,7.1,0.2,2026-08-21
EMSR865,Monterìa,DEL,1,1,Transportation,Cart Track,km,2713.6,202.7,2713.6,202.7,2026-08-15
EMSR865,Monterìa,DEL,1,1,Transportation,Cart Track,km,2713.6,202.7,2713.6,202.7,2026-08-16
EMSR865,Monterìa,DEL,1,1,Transportation,Cart Track,km,2713.6,202.7,2713.6,202.7,2026-08-18
EMSR865,Monterìa,DEL,1,1,Transportation,Cart Track,km,2713.6,202.7,2713.6,202.7,2026-08-21
EMSR865,Monterìa,DEL,1,1,Transportation,Highways,km,136.8,2.2,136.8,2.2,2026-08-15
EMSR865,Monterìa,DEL,1,1,Transportation,Highways,km,136.8,2.2,136.8,2.2,2026-08-16
EMSR865,Monterìa,DEL,1,1,Transportation,Highways,km,136.8,2.2,136.8,2.2,2026-08-18
EMSR865,Monterìa,DEL,1,1,Transportation,Highways,km,136.8,2.2,136.8,2.2,2026-08-21
EMSR865,Monterìa,DEL,1,1,Transportation,Local Road,km,2304.2,84.7,2304.2,84.7,2026-08-15
EMSR865,Monterìa,DEL,1,1,Transportation,Local Road,km,2304.2,84.7,2304.2,84.7,2026-08-16
EMSR865,Monterìa,DEL,1,1,Transportation,Local Road,km,2304.2,84.7,2304.2,84.7,2026-08-18
EMSR865,Monterìa,DEL,1,1,Transportation,Local Road,km,2304.2,84.7,2304.2,84.7,2026-08-21
EMSR865,Monterìa,DEL,1,1,Transportation,Primary Road,km,252.6,6.9,252.6,6.9,2026-08-15
EMSR865,Monterìa,DEL,1,1,Transportation,Primary Road,km,252.6,6.9,252.6,6.9,2026-08-16
EMSR865,Monterìa,DEL,1,1,Transportation,Primary Road,km,252.6,6.9,252.6,6.9,2026-08-18
