paquete_sha,capa,idx,producto_id,municipio,departamento,dano,tipo,sensor,sensor_date,metodo,copyright,lat,lon,first_seen,snapshot_date
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,73,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424783208000065,-76.53483536799996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,74,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424895710000044,-76.53481278499999,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,75,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424947180000061,-76.53481096999997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,76,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.43440547900002,-76.53468172599997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,77,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.434219520000056,-76.53482435799998,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,78,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.435661128000049,-76.53307207899996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,79,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.434189659000026,-76.53337776899997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,80,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.421575451000024,-76.53458980999994,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,81,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.422389101000022,-76.54294494899995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,82,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.422354591000044,-76.54284632399998,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,83,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.422816410000053,-76.54821667299996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,84,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.422880547000034,-76.54836955999997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,85,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.423472516000061,-76.54982441899995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,86,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.423035663000064,-76.55044717199996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,87,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.422951419000071,-76.55047660699995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,88,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.42015992100005,-76.54780827299999,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,89,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.421166055000072,-76.54276803099998,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,90,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.421066824000036,-76.54287629899994,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,91,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.420987509000042,-76.54292052899996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,92,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.418074798000021,-76.53244526799995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,93,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.418243347000043,-76.53234942999995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,94,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.41681821800006,-76.53926678299996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,95,3246,Cali,Valle del Cauca,Possibly damaged,Commercial,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.414679293000063,-76.54653040899996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,96,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.414538606000065,-76.54163621399994,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,97,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.414471498000069,-76.54178888899997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,98,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.414679899000021,-76.54155019099994,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,99,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.407299099000056,-76.54843084099997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,100,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.407175512000038,-76.54828771899997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,101,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.40717277300007,-76.54845035299996,2026-08-21T09:23:55Z,2026-08-31
