source,external_id,fecha,departamento,municipio,divipola,evento,muertos,heridos,desaparecidos,personas,familias,viv_destruidas,viv_averiadas,vias,acueductos,centros_salud,centros_educativos,lat,lon
ungrd_arcgis,58199,2020-02-17,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,582,2023-01-29,CUNDINAMARCA,CAPARRAPI,25148,INCENDIO ESTRUCTURAL,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.381501399,-74.521235947
ungrd_arcgis,5820,2024-01-27,NARIÑO,ALBAN,52019,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.469854084,-77.068809472
ungrd_arcgis,58200,2020-03-07,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58201,2020-05-12,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58202,2020-05-13,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58203,2020-05-22,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58204,2020-05-26,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58205,2020-06-06,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58206,2020-06-26,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58207,2020-09-21,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58208,2020-11-14,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58209,2020-11-16,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,5821,2024-01-27,HUILA,AGRADO,41013,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26975042,-75.716322355
ungrd_arcgis,58210,2021-02-04,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58211,2021-03-05,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58212,2021-04-26,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58213,2021-08-20,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58214,2022-04-30,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58215,2022-05-13,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58216,2022-06-03,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58217,2022-06-30,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,24.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58218,2022-07-01,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58219,2022-07-01,NORTE DE SANTANDER,CHINACOTA,\N,CRECIENTE SUBITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,5822,2024-01-27,HUILA,SUAZA,41770,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.870992095,-75.807984706
ungrd_arcgis,58220,2022-10-29,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.583353136,-72.583909779
